pmid,abstract_text
10331749,"BACKGROUND AND PURPOSE: Body positioning exerts a strong effect on pulmonary function, but its effect on other components of the oxygen transport pathway are less well understood, especially the effects of side-lying positions. This study investigated the interrelationships between side-lying positions and indexes of lung function such as spirometry, alveolar diffusing capacity, and inhomogeneity of ventilation in older individuals. SUBJECTS AND METHODS: Nineteen nonsmoking subjects (mean age=62.8 years, SD=6.8, range=50-74) with no history of cardiac or pulmonary disease were tested over 2 sessions. The test positions were sitting and left side lying in one session and sitting and right side lying in the other session. In each of the positions, forced vital capacity (FVC), forced expiratory volume in 1 second (FEV1), single-breath pulmonary diffusing capacity (DLCO/VA), and the slope of phase III (DN2%/L) of the single-breath nitrogen washout test to determine inhomogeneity of ventilation were measured. RESULTS: Compared with measurements obtained in the sitting position, FVC and FEV1 were decreased equally in the side-lying positions, but no change was observed in DLCO/VA or DN2%/L. CONCLUSION AND DISCUSSION: Side-lying positions resulted in decreases in FVC and FEV1, which is consistent with the well-documented effects of the supine position. These findings further support the need for prescriptive rather than routine body positioning of patients with risks of cardiopulmonary compromise and the need to use upright positions in which lung volumes and capacities are maximized."
10389168,Ethanol was shown to decrease the reversal potential of tetrodotoxin-resistant (TTXr) and TTX-sensitive channels in short-term culture of the dorsal root ganglion cells. The ethanol led to alterations in ionic selectivity of the TTXr channels (its shifting from the X-th Eisenmann selectivity sequence to the XI-th one). The data obtained suggest that the findings were due to selectivity filter modification because of disturbed hydrogen bounds in the channel macromolecule.
10540283,"The nirIX gene cluster of Paracoccus denitrificans is located between the nir and nor gene clusters encoding nitrite and nitric oxide reductases respectively. The NirI sequence corresponds to that of a membrane-bound protein with six transmembrane helices, a large periplasmic domain and cysteine-rich cytoplasmic domains that resemble the binding sites of [4Fe-4S] clusters in many ferredoxin-like proteins. NirX is soluble and apparently located in the periplasm, as judged by the predicted signal sequence. NirI and NirX are homologues of NosR and NosX, proteins involved in regulation of the expression of the nos gene cluster encoding nitrous oxide reductase in Pseudomonas stutzeri and Sinorhizobium meliloti. Analysis of a NirI-deficient mutant strain revealed that NirI is involved in transcription activation of the nir gene cluster in response to oxygen limitation and the presence of N-oxides. The NirX-deficient mutant transiently accumulated nitrite in the growth medium, but it had a final growth yield similar to that of the wild type. Transcription of the nirIX gene cluster itself was controlled by NNR, a member of the family of FNR-like transcriptional activators. An NNR binding sequence is located in the middle of the intergenic region between the nirI and nirS genes with its centre located at position -41.5 relative to the transcription start sites of both genes. Attempts to complement the NirI mutation via cloning of the nirIX gene cluster on a broad-host-range vector were unsuccessful, the ability to express nitrite reductase being restored only when the nirIX gene cluster was reintegrated into the chromosome of the NirI-deficient mutant via homologous recombination in such a way that the wild-type nirI gene was present directly upstream of the nir operon."
10854512,"Duodenal inflammatory fibroid polyps (IFP) are extemely rare lesions indistinguishable from submucosal tumors by endoscopic inspection alone. Like gastric inflammatory fibroid polyps, they can be managed by endoscopic polypectomy or mucosectomy. However, preoperative diagnosis of this benign lesion is difficult. Here we present a case of duodenal IFP causing gastrointestinal bleeding that was evaluated by endoscopic ultrasound before surgical removal. On endosonography, the duodenal IFP appeared as a coarsely heterogeneous isoechoic and hypoechoic mass circumscribed by a distinct margin and arising from the third layer of the duodenal wall. The endosonographic appearance of this lesion was in marked contrast to that previously reported for gastric IFPs, which have tended to appear as hypoechoic homogeneous lesions with indistinct margins. Endosonographic evaluation of suspected IFPs before endoscopic or surgical treatment is useful. However, the endosonographic appearances of duodenal and gastric IFPs may be significantly different, possibly because of differences in the makeup of the duodenal and gastric walls."
10737756,"The regioselective dibenzylphosphorylation of 2 followed by catalytic reduction in the presence of N-methyl-D-glucamine afforded 2-(S)-(1-(R)-(3, 5-bis(trifluoromethyl)phenyl)ethoxy)-3-(S)-(4-fluoro)phenyl-4-(5-(2- phosphoryl-3-oxo-4H,-1,2,4-triazolo)methylmorpholine, bis(N-methyl-D-glucamine) salt, 11. Incubation of 11 in rat, dog, and human plasma and in human hepatic subcellular fractions in vitro indicated that conversion to 2 would be expected to occur in vivo most readily in humans during hepatic circulation. Conversion of 11 to 2 occurred rapidly in vivo in the rat and dog with the levels of 11 being undetectable within 5 min after 1 and 8 mg/kg doses iv in the rat and within 15 min after 0.5, 2, and 32 mg/kg doses iv in the dog. Compound 11 has a 10-fold lower affinity for the human NK-1 receptor as compared to 2, but it is functionally equivalent to 2 in preclinical models of NK-1-mediated inflammation in the guinea pig and cisplatin-induced emesis in the ferret, indicating that 11 acts as a prodrug of 2. Based in part on these data, 11 was identified as a novel, water-soluble prodrug of the clinical candidate 2 suitable for intravenous administration in humans."
10612833,"Usher syndromeIb (USH1B), an autosomal recessive disorder caused by mutations in myosin VIIa (MYO7A), is characterized by congenital profound hearing loss, vestibular abnormalities and retinitis pigmentosa. Promoter elements in the 5 kb upstream of the translation start were identified using adult retinal pigment epithelium cells (ARPE-19) as a model system. A 160 bp minimal promoter within the first intron was active in ARPE-19 cells, but not in HeLa cells that do not express MYO7A. A 100 bp sequence, 5' of the first exon, and repeated with 90% homology within the first intron, appeared to modulate expression in both cell lines. Segments containing these elements were screened by heteroduplex analysis. No heteroduplexes were detected in the minimal promoter, suggesting that this sequence is conserved. A -2568 A>T transversion in the 5' 100 bp repeat, eliminating a CCAAT element, was found only in USH1B patients. However, in all 5 families, -2568 A>T was in cis with the same missense mutation in the myosin VIIa tail (Arg1240Gln), and 4 of the 5 families were Dutch. These observations suggest either 1) linkage disequilibrium or 2)that a combination of a promoter mutation with a less active myosin VIIa protein results in USH1B."
10972993,"Germline mutations of BRCA1 and BRCA2 predispose to hereditary breast, ovarian, and possibly prostate cancer, yet structural mutations in these genes are infrequent in sporadic cancer cases. To better define the involvement of these genes in sporadic cancers, we characterized expression levels of BRCA1 and BRCA2 transcripts in cancer cell lines derived from neoplasms of the ovary, prostate, and breast and compared them with those expressed in primary cultures of normal epithelial cells established from these organs. We observed upregulation of BRCA1 and/or BRCA2 expression in six of seven ovarian cancer cell lines (OVCA420, OVCA429, OVCA432, ALST, DOV13, and SKOV3) when compared with levels found in normal ovary surface epithelial cells. Furthermore, five cancerous or immortalized prostatic epithelial cell lines (BPH-1, TSU-Pr1, LNCaP, PC-3, and DU145) also expressed higher levels of BRCA1 and/or BRCA2 mRNA than did primary cultures of normal prostatic epithelial cells. In contrast, only the estrogen receptor-positive MCF-7 cell line overexpressed these messages, whereas the estrogen receptor-negative breast cancer cell lines Hs578T, MDA-MB-231, and MDA-MB-468 showed no change in expression levels when compared with normal breast epithelial cells. In addition, expanding on our recent identification of a novel BRCA2 transcript variant carrying an in-frame exon 12 deletion (BRCA2 delta 12), we report increased expression of this variant in several ovarian, prostate, and mammary cancer cell lines (OVCA420, OVCA433, ALST, DOV13, SKOV3, TSU-Pr1, DU145, and MDA-MB-468). Most notably, high levels of BRCA2 delta 12 mRNA were detected in an estrogen receptor-positive breast cancer cell line, MCF-7, and in an androgen-independent prostate cancer cell line, DU-145. Interestingly, the wild-type BRCA2 transcript was barely detectable in DU145, which could be used as a model system for future investigations on BRCA2 delta 12 function. Taken together, our data suggest disruption of BRCA1 and/or BRCA2 gene expression in certain epithelial cancer cell lines of the ovary, prostate, and breast. Because wild-type BRCA1 and BRCA2 gene products increase during cell-cycle progression and are believed to exert growth-inhibitory action, enhanced expression of these genes in cancer cells may represent a negative feedback mechanism for curbing proliferation in fast-growing cells. At present, the functionality of BRCA2 delta 12 remains elusive."
11025314,"The title compound, (S)-(+)-4-[5-(2-oxo-4, 5-dihydroimidazol-1-ylsulfonyl)indolin-1 -ylcarbonyl ]anilinium chloride (S)-(+)-1-[1-(4-aminobenzoyl)indoline-5- sulfonyl]-4-phenyl-4, 5-dihydroimidazol-2-one, C(24)H(23)N(4)O(4)S(+).Cl(-). C(24)H(22)N(4)O(4)S, crystallizes in space group C2 from a CH(3)OH/CH(2)Cl(2) solution. In the crystal structure, there are two different conformers with their terminal C(6) aromatic rings mutually oriented at angles of 67.69 (14) and 61.16 (15) degrees. The distances of the terminal N atoms (of the two conformers) from the chloride ion are 3.110 (4) and 3.502 (4) A. There are eight distinct hydrogen bonds, i.e. four N-H...Cl, three N-H...O and one N-H...N, with one N-H group involved in a bifurcated hydrogen bond with two acceptors sharing the H atom. C-H...O contacts assist in the overall hydrogen-bonding process."
11034741,"BACKGROUND: The prevalence of mental health problems in women is 1:3 and such problems tend to be persistent. There is evidence from a range of studies to suggest that a number of factors relating to maternal psychosocial health can have a significant effect on the mother-infant relationship, and that this can have consequences for the psychological health of the child. It is now thought that parenting programmes may have an important role to play in the improvement of maternal psychosocial health. OBJECTIVES: The objective of this review is to address whether group-based parenting programmes are effective in improving maternal psychosocial health including anxiety, depression and self-esteem. SEARCH STRATEGY: A range of biomedical, social science, educational and general reference electronic databases were searched including MEDLINE, EMBASE CINAHL, PsychLIT, ERIC, ASSIA, Sociofile and the Social Science Citation Index. Other sources of information included the Cochrane Library (SPECTR, CENTRAL), and the National Research Register (NRR). SELECTION CRITERIA: Only randomised controlled trials were included in which participants had been randomly allocated to an experimental and a control group, the latter being either a waiting-list, no-treatment or a placebo control group. Studies had to include at least one group-based parenting programme, and one standardised instrument measuring maternal psychosocial health. DATA COLLECTION AND ANALYSIS: A systematic critical appraisal of all included studies was undertaken using the Journal of the American Medical Association (JAMA) published criteria. The data were summarised using effect sizes but were not combined in a meta-analysis due to the small number of studies within each group and the presence of significant heterogeneity. MAIN RESULTS: A total of 22 studies were included in the review but only 17 provided sufficient data to calculate effect sizes. These 17 studies reported on a total of 59 outcomes including depression, anxiety, stress, self-esteem, social competence, social support, guilt, mood, automatic thoughts, dyadic adjustment, psychiatric morbidity, irrationality, anger and aggression, mood, attitude, personality, and beliefs. Approximately 22% of the outcomes measured suggested significant differences favouring the intervention group. A further 40% showed differences favouring the intervention group but which failed to achieve conventional levels of statistical significance, in some cases due to the small numbers that were used. Approximately 38% of outcomes suggested no evidence of effectiveness. REVIEWER'S CONCLUSIONS: It is suggested that parenting programmes can make a significant contribution to the improvement of psychosocial health in mothers. While the critical appraisal suggests some variability in the quality of the included studies, it is concluded that there is sufficient evidence to support their use with diverse groups of parents. However, it is also suggested that some caution should be exercised before the results are generalised to parents irrespective of the level of pathology present, and that further research is still required."
11056631,"Dislocation networks observed in CoSi (2) islands grown epitaxially on Si are compared with the results of dislocation-dynamics calculations. The calculations make use of the fact that image forces play a relatively minor role compared to line tension forces and dislocation-dislocation interactions. Remarkable agreement is achieved, demonstrating that this approach can be applied more generally to study dislocations in other mesostructures."
